"","AI2_1_D","AI2_1_M","AI2_2_D","AI2_2_M","AI2_3_D","AI2_3_M","AI2_7_D","AI2_7_M","AI2_9_D","AI2_9_M","AI2_12_D","AI2_12_M","AI4_1_D","AI4_1_M","AI4_5_D","AI4_5_M","AI4_6_D","AI4_6_M","AI4_7_D","AI4_7_M","AI4_8_D","AI4_8_M","AI4_9_D","AI4_9_M","AI4_10_D","AI4_10_M","AI6_2_D","AI6_2_M","AI6_4_D","AI6_4_M","AI6_5_D","AI6_5_M","AI6_6_D","AI6_6_M","AI6_10_D","AI6_10_M","AI6_11_D","AI6_11_M","AI6_12_D","AI6_12_M","AI7_1_D","AI7_1_M","AI7_2_D","AI7_2_M","AI7_3_D","AI7_3_M","AI7_4_D","AI7_4_M","AI7_5_D","AI7_5_M","AI7_10_D","AI7_10_M","AI7_11_D","AI7_11_M"
"ASV_1775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197060513999507,0,0.000549609218530214,0,0,0.0001476995790562,0,0.000531335511808932,0,0,0.00118181513393905,0.000310188888707492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168031926065953,0,0,0,0.00120621322895896,0,0.000823570043303844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1674",0,0,0.000444951194415862,0,0.000314492380707322,0,0,0,0,0.00135051488379945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000908960778700258,0,0,0.00049553246511916,0.00034980323567993,0,0,0,0,0
"ASV_2706",0,0,0.000597903167496315,0.00150898999974424,0.000314492380707322,0,0,0,0.0011697706633831,0.000393900174441506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1041",0,0,0.000695236241274785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000472589792060492,0.000521662987079526,0,0.000812906453226613,0,0.000775858075871972,0,0,0,0.00116505179870587,0.000783635087261032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223521320495186,0,0.000410542737498974,0,0.000298093135474015,0,0.00087543771885943,0,0.000115799712816712,0,0,0,0.000402320045596272,0,0.00199739470256188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1020",0.000283494925440835,8.80946388119809e-05,0.0032398008843405,0.00291567559272616,0.00168682276924836,0.000926192073073361,0.00062847790507365,0,0.00809604432815145,0.00371391593044848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_454",0,0,0,0,0,0,0,0,0,0,0,0,0.0139823242316317,0,0,0,0.00156643997860472,0,0.00582406607341241,0,0.00142889308415747,0.000338466745642241,0,0.00149009805806576,0.00718707015130674,0.000321310948670576,0.000492651284998768,0,0.000307408545957578,0,0,0,0,0,0,0,0.00058671673316123,0.000114280116892234,0,0,0.000105070033218295,0,0,0,0.000515316346979674,0,0,0,0,0,0,0,0,0
"ASV_2742",0,0,9.73330737784699e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65995808580286e-06,0,0.00355377008652658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_753",0,0,0.00100114018743569,0.00217396864369933,0.00157246190353661,0.00143719459614832,0,0,0,0.00292611558156547,0,0,0,0,0,0,0,0,0.000617193899879928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000501002004008016,0,0,0,0,0,0,0,0,0
