"","GH2_1_D","GH2_1_M","GH2_2_D","GH2_2_M","GH2_3_D","GH2_3_M","GH2_10_D","GH2_10_M","GH2_11_D","GH2_11_M","GH3_2_D","GH3_2_M","GH3_3_D","GH3_3_M","GH3_6_D","GH3_6_M","GH3_7_D","GH3_7_M","GH3_9_D","GH3_9_M","GH3_10_D","GH3_10_M","GH4_2_D","GH4_2_M","GH4_3_D","GH4_3_M","GH4_4_D","GH4_4_M","GH4_5_D","GH4_5_M","GH4_6_D","GH4_6_M","GH4_7_D","GH4_7_M","GH4_10_D","GH4_10_M","GH4_11_D","GH4_11_M","GH4_12_D","GH4_12_M","GH5_2_D","GH5_2_M","GH5_3_D","GH5_3_M","GH5_4_D","GH5_4_M","GH5_6_D","GH5_6_M","GH5_7_D","GH5_7_M","GH5_10_D","GH5_10_M"
"ASV_726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00227337964291865,0,0,0.00445848040126324,0,0,0,0,0.00168067226890756,0.000137591010720633,0,0,0.00106821745286264,0,0,0.000105845307083697,0.000897090862488786,0,0.000571276415482559,0,0,0,0.000596377009666277,0,0,0,0,0,0,0,0,0,0,0,0.000105700080088138,0.000186883451470372,0,0
"ASV_877",0,0,0,0,0,0,0,0,0,0,0.000113906193868342,0,0,0.00138142747505756,0.000310006314943453,0.000898648120653278,0,0.00034500145962156,0,0,0.000413318390283838,0,0.00187274909963986,0.000573295878002637,0.000498776809253497,0,0.000170190577235743,0.000107908331872075,0.000184788417262235,0.000410150564949327,0.00211457131872357,0.000632001046070697,0.000183970371087604,0,0.00034090681212024,0.00471998979461666,0.000670924135874562,8.03171798447688e-05,3.21430658640641e-05,0.000548107607733595,0,0,1.85701711055566e-05,0,0,0,0,0,0,0.00024027872331905,0,0
"ASV_2844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000298524599575177,0,0,0,0,0,8.74327364061966e-05,0,0,0.000103193258040475,0,0.00241984271022384,0,0,0,0,0,0,0,1.88764723648445e-05,0,0,0,0,0,0.000211122930386274,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103881056190662,0,0.00179418172497757,0.000610207906551018,0,0,0.000594915809386301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_810",0,0,0,0,0,0,0,0,0,0,7.44771267600698e-05,0,0.00569594034797017,0.00675364543361474,0.000218152591997244,0,0,0.00151269870757146,0,2.63685265267377e-05,0.000659719738337665,0,0,0,0,0.00108892921960073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142101972375377,0,0,0,0,0,0,0,0,7.31769785225568e-05,0,0,0
"ASV_1364",0,0,0,0,0,0,0,0,0,0,0,0,0.00217481358740679,0,0.00111372639072277,0.000390716574197077,0,0.000530771476340861,0,0,0.000929966378138637,0,0,0,0,0,0.000170190577235743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74085768413801e-05,0,0,0,0,0,0,0,0.000384153661464586,0.000137591010720633,0.000546279362515735,0,0.000224506718906725,9.44197903880653e-05,0.000104879912500187,0,0,0.000610207906551018,6.29372322141802e-05,0,0.00045454241616032,0,0.000173943294485998,1.82539045101747e-05,0.000832797615568932,0.000755170481766287,0.00143785016609648,0,0,0,0.000233124007401687,0,0,0,6.0980815435464e-05,0,0,0
"ASV_2757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34222364823765e-05,0,0,0,0,0,0,0.0143934201507882,0,0,0,0,0.00100007438569811,0,4.0653876956976e-05,0.000293673995167728,0.000120534570821594,0
"ASV_343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001968438137189,0.00321724821170702,0,0,0.000214892016761577,5.89435836225253e-05,0.000170746283219299,0.000106790543697356,0.000617739675460668,4.13591244591499e-05
"ASV_57",0,0.000226240813842817,0,0,7.17869363728454e-05,5.74069290163323e-05,0.00038820655265888,0.000449438202247191,0.000914957928273834,0.00079627671988907,0.00155525764704852,0.0014860030965813,0.00238193869096935,0,0.0011022446753545,0,0,0.00193731588864414,0,0.000395527897901065,0.00109688342036865,0.00236574402649633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000186762592264781,0.00733799395111309,0.0579163810829335,0.0106481361119261,0.00416428787319072,0.000471104764957576,0,0.000429784033523155,0,0.0509352424393952,0.0226796417177259,0.00646366636030797,0.00709786205141257
