"","Fish_ID","Sample.type","Location","Plate","Sample_or_Control","Pair","Origin","Species","SampleID","Salinity","Temperature","Diet","Plant","Invertebrates","High_plant","Sex","Lenght","Weight","Fultons","Habitat_type","Distance_ocean","Cooccurence","is.neg"
"AI6_10_D","AI6_10","Digesta","AI6",19,"True Sample","Yes","Wild","Aphanius iberus","AI6_10_D",1.97,21.8,"Yes",32.9,67.1,"Low","Male",30.6,379,1.3,"Stream",45,"No",FALSE
"AI6_10_M","AI6_10","Mucus","AI6",19,"True Sample","Yes","Wild","Aphanius iberus","AI6_10_M",1.97,21.8,"Yes",32.9,67.1,"Low","Male",30.6,379,1.3,"Stream",45,"No",FALSE
"AI6_11_D","AI6_11","Digesta","AI6",19,"True Sample","Yes","Wild","Aphanius iberus","AI6_11_D",1.97,21.8,"Yes",70.2,29.8,"High","Female",37.7,892,1.7,"Stream",45,"No",FALSE
"AI6_11_M","AI6_11","Mucus","AI6",19,"True Sample","Yes","Wild","Aphanius iberus","AI6_11_M",1.97,21.8,"Yes",70.2,29.8,"High","Female",37.7,892,1.7,"Stream",45,"No",FALSE
"AI6_12_D","AI6_12","Digesta","AI6",20,"True Sample","Yes","Wild","Aphanius iberus","AI6_12_D",1.97,21.8,"Yes",78.3,21.7,"High","Male",29.5,366,1.4,"Stream",45,"No",FALSE
"AI6_12_M","AI6_12","Mucus","AI6",20,"True Sample","Yes","Wild","Aphanius iberus","AI6_12_M",1.97,21.8,"Yes",78.3,21.7,"High","Male",29.5,366,1.4,"Stream",45,"No",FALSE
"AI7_1_D","AI7_1","Digesta","AI7",18,"True Sample","Yes","Wild","Aphanius iberus","AI7_1_D",4.42,25.3,"Yes",56.9,43.1,"Low","Female",38.2,827,1.5,"Pond",1.7,"Yes",FALSE
"AI7_1_M","AI7_1","Mucus","AI7",18,"True Sample","Yes","Wild","Aphanius iberus","AI7_1_M",4.42,25.3,"Yes",56.9,43.1,"Low","Female",38.2,827,1.5,"Pond",1.7,"Yes",FALSE
"AI7_2_D","AI7_2","Digesta","AI7",18,"True Sample","Yes","Wild","Aphanius iberus","AI7_2_D",4.42,25.3,"Yes",53.6,46.4,"Low","Female",32.1,480,1.4,"Pond",1.7,"Yes",FALSE
"AI7_2_M","AI7_2","Mucus","AI7",18,"True Sample","Yes","Wild","Aphanius iberus","AI7_2_M",4.42,25.3,"Yes",53.6,46.4,"Low","Female",32.1,480,1.4,"Pond",1.7,"Yes",FALSE
"AI7_3_D","AI7_3","Digesta","AI7",19,"True Sample","Yes","Wild","Aphanius iberus","AI7_3_D",4.42,25.3,"Yes",21.2,78.8,"Low","Female",35.3,729,1.7,"Pond",1.7,"Yes",FALSE
"AI7_3_M","AI7_3","Mucus","AI7",19,"True Sample","Yes","Wild","Aphanius iberus","AI7_3_M",4.42,25.3,"Yes",21.2,78.8,"Low","Female",35.3,729,1.7,"Pond",1.7,"Yes",FALSE
"AI7_4_D","AI7_4","Digesta","AI7",19,"True Sample","Yes","Wild","Aphanius iberus","AI7_4_D",4.42,25.3,"Yes",63.2,36.8,"Low","Male",25.9,271,1.6,"Pond",1.7,"Yes",FALSE
"AI7_4_M","AI7_4","Mucus","AI7",19,"True Sample","Yes","Wild","Aphanius iberus","AI7_4_M",4.42,25.3,"Yes",63.2,36.8,"Low","Male",25.9,271,1.6,"Pond",1.7,"Yes",FALSE
"AI7_5_D","AI7_5","Digesta","AI7",19,"True Sample","Yes","Wild","Aphanius iberus","AI7_5_D",4.42,25.3,"Yes",56.2,43.8,"Low","Female",25.1,251,1.6,"Pond",1.7,"Yes",FALSE
"AI7_5_M","AI7_5","Mucus","AI7",19,"True Sample","Yes","Wild","Aphanius iberus","AI7_5_M",4.42,25.3,"Yes",56.2,43.8,"Low","Female",25.1,251,1.6,"Pond",1.7,"Yes",FALSE
"AI7_10_D","AI7_10","Digesta","AI7",19,"True Sample","Yes","Wild","Aphanius iberus","AI7_10_D",4.42,25.3,"Yes",56.4,43.6,"Low","Male",26,243,1.4,"Pond",1.7,"Yes",FALSE
"AI7_10_M","AI7_10","Mucus","AI7",19,"True Sample","Yes","Wild","Aphanius iberus","AI7_10_M",4.42,25.3,"Yes",56.4,43.6,"Low","Male",26,243,1.4,"Pond",1.7,"Yes",FALSE
"AI7_11_D","AI7_11","Digesta","AI7",20,"True Sample","Yes","Wild","Aphanius iberus","AI7_11_D",4.42,25.3,"Yes",35.8,64.2,"Low","Female",28.6,392,1.7,"Pond",1.7,"Yes",FALSE
"AI7_11_M","AI7_11","Mucus","AI7",20,"True Sample","Yes","Wild","Aphanius iberus","AI7_11_M",4.42,25.3,"Yes",35.8,64.2,"Low","Female",28.6,392,1.7,"Pond",1.7,"Yes",FALSE
